tourney_id,tourney_country,tourney_city,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_country,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_rank,winner_rank_points,loser_id,loser_country,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2010533,Brazil,Costa do Sauipe,Costa Do Sauipe,Clay,32,A,2010-02-08,24,103997,Poland,0.0,Main Draw,Lukasz Kubot,R,190.0,56.0,759.0,103656,Spain,2.0,Main Draw,Albert Montanes,R,175.0,30.0,1265.0,6-2 6-2,3,R16,84.0,2.0,3.0,62.0,30.0,26.0,14.0,8.0,3.0,3.0,3.0,2.0,51.0,30.0,18.0,7.0,8.0,9.0,13.0
2003500,Germany,Halle,Halle,Grass,32,A,2003-06-09,13,103852,Spain,0.0,Main Draw,Feliciano Lopez,L,188.0,54.0,711.0,103786,Russia,7.0,Main Draw,Nikolay Davydenko,R,178.0,35.0,1001.0,7-6(5) 6-3,3,R32,73.0,6.0,4.0,54.0,36.0,32.0,12.0,10.0,0.0,0.0,3.0,3.0,73.0,37.0,24.0,23.0,11.0,5.0,7.0
2005328,Switzerland,Basel,Basel,Carpet,32,A,2005-10-24,19,103602,Chile,4.0,Main Draw,Fernando Gonzalez,R,183.0,17.0,1480.0,103582,Germany,0.0,LL,Michael Berrer,L,193.0,152.0,278.0,6-4 7-5,3,R16,73.0,5.0,2.0,56.0,32.0,29.0,16.0,11.0,0.0,0.0,5.0,4.0,67.0,40.0,32.0,12.0,11.0,3.0,5.0
2015301,New Zealand,Auckland,Auckland,Hard,28,A,2015-01-12,21,106298,France,0.0,LL,Lucas Pouille,R,185.0,136.0,391.0,105077,Spain,0.0,Main Draw,Albert Ramos,L,188.0,61.0,755.0,6-3 6-2,3,QF,63.0,5.0,0.0,55.0,35.0,25.0,15.0,9.0,3.0,3.0,0.0,3.0,44.0,26.0,17.0,7.0,8.0,1.0,4.0
20157290,Portugal,Estoril,Estoril,Clay,28,A,2015-04-27,13,104898,Netherlands,0.0,Main Draw,Robin Haase,R,190.0,101.0,532.0,103852,Spain,1.0,Main Draw,Feliciano Lopez,L,188.0,12.0,2380.0,4-6 7-6(2) 6-4,3,R16,123.0,3.0,3.0,93.0,58.0,41.0,20.0,16.0,2.0,6.0,10.0,1.0,102.0,56.0,41.0,24.0,16.0,6.0,10.0
2010506,Argentina,Buenos Aires,Buenos Aires,Clay,32,A,2010-02-15,20,103656,Spain,5.0,Main Draw,Albert Montanes,R,175.0,30.0,1265.0,104665,Spain,0.0,Q,Pablo Andujar,R,180.0,161.0,308.0,6-3 6-2,3,R16,67.0,7.0,1.0,46.0,30.0,27.0,8.0,9.0,1.0,2.0,2.0,0.0,51.0,34.0,20.0,6.0,8.0,5.0,9.0
2003520,France,Paris,Roland Garros,Clay,128,G,2003-05-26,43,103344,Croatia,0.0,Main Draw,Ivan Ljubicic,R,193.0,43.0,845.0,102344,Slovakia,0.0,Main Draw,Karol Kucera,R,188.0,49.0,768.0,6-2 6-3 6-2,5,R128,100.0,15.0,3.0,83.0,51.0,38.0,20.0,13.0,1.0,1.0,2.0,12.0,79.0,49.0,34.0,10.0,12.0,8.0,13.0
2014540,United Kingdom,London,Wimbledon,Grass,128,G,2014-06-23,16,104607,Czech Republic,6.0,Main Draw,Tomas Berdych,R,196.0,6.0,4680.0,103812,Romania,0.0,Main Draw,Victor Hanescu,R,198.0,104.0,552.0,6-7(5) 6-1 6-4 6-3,5,R128,176.0,22.0,3.0,112.0,72.0,54.0,30.0,19.0,3.0,3.0,10.0,2.0,166.0,131.0,83.0,14.0,19.0,20.0,25.0
2009306,Austria,Kitzbuhel,Kitzbuhel,Clay,32,A,2009-05-17,12,103812,Romania,3.0,Main Draw,Victor Hanescu,R,198.0,32.0,1536.0,102839,Ecuador,0.0,Q,Nicolas Lapentti,R,188.0,108.0,758.0,6-7(6) 6-3 7-5,3,R32,166.0,5.0,2.0,90.0,63.0,49.0,19.0,16.0,2.0,3.0,2.0,4.0,123.0,76.0,50.0,25.0,17.0,10.0,14.0
2010540,United Kingdom,London,Wimbledon,Grass,128,G,2010-06-21,6,105575,Lithuania,0.0,Q,Ricardas Berankis,R,175.0,156.0,322.0,104958,Australia,0.0,Q,Carsten Ball,L,198.0,134.0,391.0,6-2 6-0 3-6 7-6(5),5,R128,121.0,8.0,5.0,100.0,48.0,41.0,33.0,17.0,0.0,1.0,12.0,7.0,115.0,78.0,56.0,12.0,18.0,3.0,8.0
